song,artist,id
Power Of Love (You Are My Lady),Air Supply,2tVL7NFlszsKQz3zhL1ZrO
Sweet Dreams,Air Supply,3e6ZOYY9K3OFWLgfFwltlO
Two Less Lonely People In The World,Air Supply,4xmHjb0NPFwDCazpiEKxFw
Young Love,Air Supply,1YT2Q1KbrlwiOzg6BF3SBw
So Hard Livin' Without You,Airwaves,7bAnLhrSneQlYdVgaEjONP
Angel,Akon,6LBcHFbzmKSgGjZapRE2B5
"Sorry, Blame It On Me",Akon,61BqwgSRTyWH9M4uPjsC3B
Nite And Day,Al B. Sure!,6VgoAMJwa0huFWD0jLcWKx
Bonanza,Al Caiola And His Orchestra,1K4LKJrnoXYY2urLCoOKNR
Surfin' Hootenanny,Al Casey,MISSING
Cookin',Al Casey Combo,40yDIZa7ncHhfeMTFC73nj
Jivin' Around,Al Casey Combo,14qMXlnYGtL7qPquWc5hn0
Call Me (Come Back Home),Al Green,2anTP5AAWN9V6z9oEguRNO
Guilty,Al Green,3qVaslpZyph4HhZyBjvchB
Here I Am Come & Take Me,Al Green,MISSING
Let's Get Married,Al Green,20ma16PV8NEFeOjiCCeh01
Let's Stay Together,Al Green,0MU60hNxBI6xmIjtaTzz02
Livin' For You,Al Green,0Sso1xbdu9U9lh0GFPrgP7
Look What You Done For Me,Al Green,3QcwI5YFhjER8jhg6szNS5
You Ought To Be With Me,Al Green,0JNNFr31a0Wmc0EM1prGXk
After All,Al Jarreau,3l2AIKPCArxF10SyZIjS3J
Breakin' Away,Al Jarreau,7dUzf0CH92vsbiSFCC27PQ
Moonlighting (Theme),Al Jarreau,6RnEe2AkQIicLcRvwuGUmI
Teach Me Tonight,Al Jarreau,5RWT4ysSr4gNMQjL4hQk1M
Forgive Me,Al Martino,MISSING
Here In My Heart,Al Martino,5INGQJv6rLOIuM6jwFjjt9
I Can't Get You Out Of My Heart,Al Martino,5m6N98LZkgqYuuy8RMILdm
Think I'll Go Somewhere And Cry Myself To Sleep,Al Martino,4dihWVHHo4eDBrRTEa4kAF
Volare,Al Martino,75n8sNOULVhrShcpEeEWn1
Midnight Rocks,Al Stewart,3jYRpwbctfqB77uU7T7K3U
Song On The Radio,Al Stewart,2YnONzNDNwNELVLOS7wIgZ
Year Of The Cat,Al Stewart,6i9dZZQWNB06HKsQYKTiPF
Poor Side Of Town,Al Wilson,1rWqtf1rOYiPEb9puv2bYd
Show And Tell,Al Wilson,1WXEEP03cUcXYp96MxAO2M
The Snake,Al Wilson,3UMqQ1QTgvAj8FTQMoNPfk
Lady Down On Love,Alabama,0wcDf9Doib0EN7B0LD0VH7
Hold On,Alabama Shakes,60kEbEbxKPyuLGJaONFAPU
A Woman's Love,Alan Jackson,5sQbHxvOSDHbyLf6JrZjxC
Chattahoochee,Alan Jackson,6kJvrUroa9EQ8E9JcZH25B
Country Boy,Alan Jackson,6KW1hFD7iZsU9vHdvUAh5o
Drive (For Daddy Gene),Alan Jackson,7fVFZop6IYgGZjyZOW70DV
Good Time,Alan Jackson,2R3iJTiX0Tiy79ArhDIv8B
It Must Be Love,Alan Jackson,MISSING
Like Red On A Rose,Alan Jackson,1ayFArNqsYgGT8gWWSscTD
Little Bitty,Alan Jackson,MISSING
Remember When,Alan Jackson,60tb2tX49RbtKxvAYLOSgo
Right On The Money,Alan Jackson,5qi95Ap63F7vqwe3w0VU1E
Small Town Southern Man,Alan Jackson,6J8QrnBPDqj17crZloYPgy
Where I Come From,Alan Jackson,08OEta55sswwXqJhZqy9gf
Where Were You (When The World Stopped Turning),Alan Jackson,1CiWoAJWwNQuznDTy5EAlm
www.memory,Alan Jackson,MISSING
Undercover Angel,Alan O'Day,4wgFCYt1IxJFSknTVeFfrx
I Wouldn't Want To Be Like You,Alan Parsons,0zhgAwhBDIs0d3NwFp7oOI
32 Flavors,Alana Davis,5tUXYpv7GBKCqKzEM8O9A8
Ironic,Alanis Morissette,18v45bO9woyaa2EbNT0BZI
Black Velvet,Alannah Myles,5y9r1MMGFLZRpCCo32spgN
Love Is,Alannah Myles,MISSING
99 Miles From L.a.,Albert Hammond,3nFr4QFOvnYb7mh8mlGaOi
Breaking Up Somebody's Home,Albert King,5UhLZ6CEwxeyAGKsGklrZg
Cold Feet,Albert King,3nmd5lsusqNE1bhcpHwAOH
A La Primera Persona,Alejandro Sanz,6mXHxE2BEafOgdWoFvc6mF
Put Away Your Love,Alessi,3OfHkVTD7efikqeBQJBYyM
Here,Alessia Cara,5zUQZjVB6bfewBXWqsP9PY
Scars To Your Beautiful,Alessia Cara,0wI7QkCcs8FUQE1OkXUIqd
Wild Things,Alessia Cara,0bmm9xZUJQDR1tBhWtIXVM
It's You,Ali Gatie,78jvD6wUrZH7Rqa2TDdIzQ
Perfect World,Alias,7wbnC3JV0LvBR6We7fXJOb
Be My Lover,Alice Cooper,MISSING
Caught In A Dream,Alice Cooper,0VUXxpo8VnzisNNPzDCFDr
Clones (We're All),Alice Cooper,36Tt0rkxNmYMET000BMSlp
Hey Stoopid,Alice Cooper,1pLYgXmv0ZMcpRaTBC0Izb
No More Mr. Nice Guy,Alice Cooper,48jSUwey44ubLbJYNjM921
Only My Heart Talkin',Alice Cooper,7gyPlFaDFvqeRmQWgZ5JwM
Only Women,Alice Cooper,5yym4VJvDjYvqjHyHTYBlZ
School's Out,Alice Cooper,2GkTEXyuyCuIB2GprJCVBO
Under My Wheels,Alice Cooper,61sLjSxAzgtHytF5EhW0Cd
Better Off Alone,Alice Deejay,5XVjNRubJUW0iPhhSWpLCj
No Roots,Alice Merton,4CdfFYzaAJ0y0beKzmgJSn
Body Heat,Alicia Bridges,1vJj1cqC5EWUkv7eC44SxT
I Love The Nightlife (Disco 'round),Alicia Bridges,4ECBXk2nkjBverYrBqG51n
A Woman's Worth,Alicia Keys,MISSING
How Come You Don't Call Me,Alicia Keys,09oPdIGjxiJbzyX8AcHply
If I Ain't Got You,Alicia Keys,2c5bXV6mlCHtIv68ayx7si
Karma,Alicia Keys,1uCZq3hBa2ZTxOn18lkp2I
No One,Alicia Keys,2KYT4dWhMF3YZ0oLDfb9Br
Try Sleeping With A Broken Heart,Alicia Keys,MISSING
Unbreakable,Alicia Keys,2DRcaAO76feWOoWCWP1cPp
Underdog,Alicia Keys,6NdQMHONIyLgjF8m95ybuk
You Don't Know My Name,Alicia Keys,2YpcIMAlj3xnB1Vr3qFYL1
Bounce Back,Alisha,1VBUAvGsvkOzAc6W50z1nh
Into My Secret,Alisha,3xSTZcEovpPulXjtoCA1Hv
Never Ever,All Saints,3DuZIZtDum4rem89FVey9P
What's Going On,All Star Tribute,3QF1QMr3ws5C33iPJu0zsJ
Damned If I Do Ya (Damned If I Don't),All Time Low,1kqQhZxkfWFknOnhatz6Pm
"Hello Mudduh, Hello Fadduh! (A Letter From Camp)",Allan Sherman,1WvcgDbT79xeAa7Mv0klkK
New Morning,Alpha Rev,7aOH8ShpP7P64x9fyTHxyc
Speed,Alpha Team,4RknwcXE2mMJTx3KkBriTO
Bad Day,Alvin And The Chipmunks,2uXvmqJCWcstMyW33aJPks
Funkytown,Alvin And The Chipmunks,7AZWUtaMrz5MzfAW3Fy0aj
Twine Time,Alvin Cash & The Crawlers,4BOvsc4Orv9LWNfSEFbzXH
The Philly Freeze,Alvin Cash & The Registers,MISSING
Something You Got,Alvin Robinson,1S293J9VJy8qDaZb6mpG5K
Chemicals React,Aly & AJ,2FPnUDOMizUdGX5nJC3mtE
Stars,Amanda Brown,6VtxTLIT8pG85PrDUv0M7e
Colour Of Love,Amber,0p3U960rQCd4RR489pLlHY
One More Night,Amber,0SAIjVOwxVnO1l9HGvLuOU
Sexual (Li Da Di),Amber,1qaGr5S6pOra3oGrwcJLjY
This Is Your Night,Amber,6YX75Ps2XsWn9dOzwbqmNV
Sad,Amber Carrington,0CCznGZ23ARzsnbTu4QlzU
Biggest Part Of Me,Ambrosia,3g79r7hIQA9iXa3cRGUi7a
Holdin' On To Yesterday,Ambrosia,5QcRkEsO2naI3gBCPsjwrt
How Much I Feel,Ambrosia,4iYPFv75TjMMpR5xHhvP7b
"Nice, Nice, Very Nice",Ambrosia,MISSING
Get Up,Amel Larrieux,2ER50sjIrGpBHj4TsZC5vu
A Horse With No Name,America,5EYx6KN0ibc4dc1mxDLgUH
I Need You,America,5e6mocHjUIWwTYRDuMCVAk
Lonely People,America,MISSING
Only In Your Heart,America,25klAMytBFBdDPSkVRd8H2
Right Before Your Eyes,America,1LlojsIpNQQeDPWg3RqblV
The Border,America,0EYOW4mYvn74ZhahmeFuhs
Tin Man,America,4Oa4vLfmqrZVPHq6KfrFOY
Today's The Day,America,4YxMwRP9pM46rkLB1FgPvK
Ventura Highway,America,0AKA2EHdNdmcvWHqzg5Yq5
Woman Tonight,America,6A2T8rGTfs0FcmEIPLOND0
Let Me Down Easy,American Flyer,5KA5FInbzpqZ0foY5WmDTR
Flavor Of The Weak,American Hi-Fi,4x1uZE3heqlajFLIto3h5T
When You Tell Me That You Love Me,American Idol Finalists Season 4,6ScbIN1I9ve2h3CpRXQuNT
1 Thing,Amerie,3BwzyIXehwG6VL1L9is62d
Knock On Wood,Amii Stewart,6120uJUyg6QDzaAJUosTx5
Got To Tell Me Something,Ana,5IhQG4L7NxTmX9Rl2mj1zJ
Shy Boys,Ana,7ISolNQEUMLfb2yPGXV5PV
Like Young,Andre Previn With David Rose,4dCrBXrbqmOkTR7ZWY2RIo
Pearl Time,Andre Williams,6hriKayAKlu74iGgvtGXJe
It Hurts To Be Sixteen,Andrea Carroll,5rFLX9iZNPsghplNxms81T
Lonely Boy,Andrew Gold,5e8VTgAANDVjvfyNN7AqcP
Never Let Her Slip Away,Andrew Gold,1g6LDKqdrr70IvKya8Sstk
That's Why I Love You,Andrew Gold,04FojdbHBo3nLkQdYtHISJ
Mishale,Andru Donalds,3Iou4vWujsi1hOMIrLaPcm
Spider Jiving,Andy Fairweather Low,54p5jF75hxlfYosMqWGmha
Me (Without You),Andy Gibb,0eeYMu1A61fdRREKd8LjAl
Time Is Time,Andy Gibb,1YnqUpgooPqfhJOcCxORtp
Rainbow Ride,Andy Kim,5FypLOLmX3qpjiZq8eUTTV
Rock Me Gently,Andy Kim,5EOGZmuU56m3fFhqr4HCLe
Avenging Annie,Andy Pratt,2WPx4X6CtBRYW8PIUJRdMu
Just Young,Andy Rose,5fa6K4cBjQKSqz1FitiPX9
A Scottish Soldier (Green Hills of Tyrol),Andy Stewart,4TnYIJn7a81Gwwg1sHhFrI
(Where Do I Begin) Love Story,Andy Williams,0QNXohHD2DWuPpmvB1WnOk
Lonely Street,Andy Williams,4vzwzP3O4ihgi4FdewHMsb
Tell It Like It Is,Andy Williams,7MYHtpI1ebzt1lkAxgNDEZ
The Bilbao Song,Andy Williams,68cXqkPaHAFkotUv3ETwZD
The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,MISSING
The Village Of St. Bernadette,Andy Williams,18AIesWCXvIbXu8RqQw1E1
The Wonderful World Of The Young,Andy Williams,3o0nkjyy6eZL5lZcEpvJec
Twilight Time,Andy Williams,3Ol2xnObFdKV9pmRD2t9x8
You Don't Want My Love,Andy Williams,6cZH4rX1KTt1aJ3Ql6Ynja
Love Me Right (Oh Sheila),Angel City Featuring Lara McAllen,0VZe8C7xgAIQC0E0qEVIEh
Joey Baby,Anita & Th' So-And-So's,74eHuDMf4lrb55GuYaJVF2
Giving You The Best That I Got,Anita Baker,5yRqIa0CrC6kYRfJYBB2rD
Soul Inspiration,Anita Baker,69Qj76H9EwWDUcY3gnutLD
Sweet Love,Anita Baker,4MzhmCOgPB7xb87f1CXjlA
Talk To Me,Anita Baker,1YjoOTolX1diB4V6dBCnpl
A Texan And A Girl From Mexico,Anita Bryant,2xwzpWrv5bo4NCgg92sHwI
Do-Re-Mi,Anita Bryant,5sYG6jLl5MotffCxTZSuAQ
I Can't Do It By Myself,Anita Bryant,3FwRlfDWccU33k2osVGdUJ
In My Little Corner Of The World,Anita Bryant,5RAnGYZkgGRexckUnHNQEJ
One Of The Lucky Ones,Anita Bryant,40KrX9cWqAMpltM1grAthY
Paper Roses,Anita Bryant,5gJSdERLRTtlGbcSvzLijv
Promise Me A Rose (A Slight Detail),Anita Bryant,0ktaoalKCfpHXlc77lCMms
Six Boys And Seven Girls,Anita Bryant,2SmscjT9uTbUjVhDSWrq2G
The World Of Lonely People,Anita Bryant,52ski69fbYIHLJVoi2H17g
Till There Was You,Anita Bryant,5sPnqbTapK6DRXovWxFF1m
Wonderland By Night,Anita Bryant,4zEhdzs4549jPHIIOupbSU
What If I Said,Anita Cochran (Duet With Steve Wariner),4rifGEpBg2TfNYTpDWkNnn
Breathe (2 AM),Anna Nalick,4lGtdNWoWU4ftuFHUp4716
