,song,artist,id,MISSING
21134,(your Love Has Lifted Me) Higher And Higher,Rita Coolidge,39iKJpLPhsDTOzH2lXliWF,matched
21144,You,Rita Coolidge,39iKJpLPhsDTOzH2lXliWF,matched
21670,The Dog,Rufus Thomas,602rnDrA59nfIEcX5Qrlcx,matched
21671,Walking The Dog,Rufus Thomas,602rnDrA59nfIEcX5Qrlcx,matched
21838,Good News,Sam Cooke,4UcxTnA6C5vCW79PIZ38Vx,matched
21839,Good Times,Sam Cooke,4UcxTnA6C5vCW79PIZ38Vx,matched
21909,I Only Wanna Be With You,Samantha Fox,22OUIfVCLTDQOlhbYGENnw,matched
21910,I Wanna Have Some Fun,Samantha Fox,22OUIfVCLTDQOlhbYGENnw,matched
22247,Baby I'm Yours,Shai,3xSu3S8v206qwhob9N2LGJ,matched
22253,Yours,Shai,3xSu3S8v206qwhob9N2LGJ,matched
22367,For Your Eyes Only,Sheena Easton,4jRJWlkCn3pAwezfqFODU3,matched
22381,You Could Have Been With Me,Sheena Easton,4jRJWlkCn3pAwezfqFODU3,matched
22720,Snoop Dogg,Snoop Dogg,5rLnRYky5ktJYGUMAmqeWx,matched
22722,What's My Name?,Snoop Dogg,5rLnRYky5ktJYGUMAmqeWx,matched
23341,All I Want To Do,Sugarland,1mJ05BN0So26a14iib85aI,matched
23353,Want To,Sugarland,1mJ05BN0So26a14iib85aI,matched
23827,The Way I Loved You,Taylor Swift,22bPsP2jCgbLUvh82U0Z3M,matched
23828,The Way I Loved You (Taylor's Version),Taylor Swift,22bPsP2jCgbLUvh82U0Z3M,matched
23842,You Belong With Me,Taylor Swift,1qrpoAMXodY6895hGKoUpA,matched
23843,You Belong With Me (Taylor's Version),Taylor Swift,1qrpoAMXodY6895hGKoUpA,matched
24007,"December 1963 (Oh, What A Night)",The 4 Seasons,1hQFF33xi8ruavZNyovtUN,matched
24008,"December, 1963 (Oh, What a Night)",The 4 Seasons,1hQFF33xi8ruavZNyovtUN,matched
24307,Surfin,The Beach Boys,0wz1LjDb9ZNEYwOmDJ3Q4b,matched
24309,Surfin' U.S.A.,The Beach Boys,0wz1LjDb9ZNEYwOmDJ3Q4b,matched
25460,Bus Stop,The Hollies,3Jw2A9SC8zhntx4ON9VabX,matched
25479,Stop Stop Stop,The Hollies,3Jw2A9SC8zhntx4ON9VabX,matched
25553,Love Me,The Impressions,0pnWjLrf784CX0CHKYoUVj,matched
25558,Say You Love Me,The Impressions,0pnWjLrf784CX0CHKYoUVj,matched
25669,Body,The Jacksons,6lSVidZXCnOnYAWcgIqVDF,matched
25676,Shake Your Body (Down To The Ground),The Jacksons,6lSVidZXCnOnYAWcgIqVDF,matched
25863,Love,The Lettermen,1gMMY095TNREZ8ZZYsfM5L,matched
25874,When I Fall In Love,The Lettermen,1gMMY095TNREZ8ZZYsfM5L,matched
26162,Remember The Night,The Motels,6ZceMfTAlpxwNcK5C34wPp,matched
26163,Remember The Nights,The Motels,6ZceMfTAlpxwNcK5C34wPp,matched
27134,My Baby,The Temptations,1uzcPl4GZSU9Ysl1ZcMLTb,matched
27143,Since I Lost My Baby,The Temptations,1uzcPl4GZSU9Ysl1ZcMLTb,matched
27183,The Lion Sleeps Tonight,The Tokens,2F4FNcz68howQWD4zaGJSi,matched
27184,The Lion Sleeps Tonight (Wimoweh),The Tokens,2F4FNcz68howQWD4zaGJSi,matched
27557,Country Again,Thomas Rhett,4oR2cCQGs0Yt0Mgr2diV6V,MISSING
27572,What's Your Country Song,Thomas Rhett,4oR2cCQGs0Yt0Mgr2diV6V,MISSING
28082,Sing,Tony Orlando & Dawn,266HrBTiCIPm5RxFiE1El9,matched
28699,Save The Best For Last,Vanessa Williams,7okbmgA8lRBGl5limZ7LFM,matched
28700,The Comfort Zone,Vanessa Williams,7okbmgA8lRBGl5limZ7LFM,matched
28950,The Hungry Years,Wayne Newton,4kqOuBMioKeLNLkPpmxduf,MISSING
28952,Years,Wayne Newton,4kqOuBMioKeLNLkPpmxduf,MISSING
29242,C.R.E.A.M. (Cash Rules Everything Around Me),Wu-Tang Clan,119c93MHjrDLJTApCVGpvx,matched
29243,Method Man,Wu-Tang Clan,119c93MHjrDLJTApCVGpvx,matched
