,index,song,artist,id,MISSING,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
44,25172,Got What You Need,The Fantastic Johnny C,33HKkBoXOgay5WwagMhOiC,matched,0.725,0.547,7,-9.372,1,0.123,0.113,0.828,0.0741,0.881,151.049,160787,4
45,15579,Let It All Work Out,Lil Wayne,3BUWNzPWz2mDbptZmGEXpB,matched,0.551,0.562,11,-6.862,1,0.163,0.0218,0,0.302,0.438,135.872,316192,4
46,26267,Look Over Your Shoulder,The O'Jays,4813h7VEX815swdEd38O3Y,matched,0.438,0.51,10,-9.223,1,0.0359,0.654,0,0.0909,0.901,168.747,197640,4
47,9120,"Long, Long Way From Home",Foreigner,21D0muOMLK4P0jrsAYKLij,matched,0.621,0.88,7,-7.213,1,0.043,0.302,0,0.17,0.522,128.215,172573,4
48,15049,Sleepwalk,Larry Carlton,7mNV6DQo3Pkvw305WQs9XV,matched,0.578,0.254,5,-14.193,1,0.0276,0.798,0.966,0.0814,0.18,66.642,275226,4
49,14248,Distraction,Kehlani,2wSQyp6VzUopSFBinRo1iD,matched,0.66,0.698,5,-6.266,0,0.0467,0.0266,0,0.296,0.396,120.959,235693,4
50,9294,What Little Girl,Frankie Avalon,3RLCKTwryqRgsRlkCNKnZE,matched,0.58,0.609,2,-8.739,1,0.0325,0.316,0,0.109,0.973,109.577,122733,4
51,6938,"Promises, Promises",Dionne Warwick,4SNokZZ5vA7bIhQQeozv6i,matched,0.502,0.661,2,-8.645,1,0.04,0.476,1.96e-05,0.0296,0.853,146.851,182373,4
52,20516,We Went,Randy Houser,7JnorPtXApoUw2AuJUGLY1,matched,0.646,0.882,4,-3.77,0,0.0371,0.097,0,0.311,0.544,101.997,179360,4
53,4769,Does Anybody Really Know What Time It Is?,Chicago,6Q6YqGj1Ku1CUGHWSFwSHY,matched,0.564,0.455,0,-11.615,1,0.0369,0.645,3.05e-06,0.0915,0.697,117.792,202133,4
54,7163,I Love You Always Forever,Donna Lewis,1PEqh7awkpuepLBSq8ZwqD,matched,0.744,0.453,5,-11.977,1,0.0348,0.627,0.421,0.0898,0.122,103.773,239960,4
55,6953,Who Is Gonna Love Me?,Dionne Warwick,1L4GnTwQq8Uuff376kJDeZ,matched,0.353,0.311,0,-11.339,0,0.0421,0.72,0,0.125,0.326,94.655,192573,3
56,19206,Already Callin' You Mine,Parmalee,3jSyE8r8vgg8fmwojoMzql,matched,0.59,0.887,1,-2.634,1,0.0353,0.0504,0,0.132,0.679,120.061,184387,4
57,24563,We Got A Thing That's In The Groove,The Capitols,2Du61OdJ7CXmUBG7FaZST6,matched,0.663,0.527,9,-12.424,1,0.0552,0.571,0,0.126,0.925,81.706,147187,4
58,7211,Tough World,Donnie Iris,1sIyPQOBFFkqUOKXg5qjiI,matched,0.675,0.648,2,-10.1,1,0.0309,0.0054,8.43e-06,0.0958,0.613,114.52,227667,4
59,28419,You Might Need Somebody,Turley Richards,0ojCFgI78aJ33qskR7WpYx,matched,0.727,0.459,9,-8.465,0,0.0241,0.642,2.78e-06,0.247,0.883,82.249,216693,4
60,29622,Tomorrow People,Ziggy Marley And The Melody Makers,07QZEz7d4OS6vmS1iiwJCc,matched,0.714,0.561,10,-12.986,1,0.0421,0.221,0,0.116,0.647,96.12,218440,4
61,11853,I Got You (I Feel Good),James Brown And The Famous Flames,5haXbSJqjjM0TCJ5XkfEaC,matched,0.613,0.487,7,-8.781,1,0.0935,0.412,1.02e-05,0.286,0.699,143.332,165800,4
