genre_id,counts
neon pop punk,172
kompa,172
irish folk,172
indie dream pop,172
cumbia villera,172
chilean rock,172
wonky,171
violin,171
vancouver indie,171
uk contemporary r&b,171
symphonic metal,171
swiss hip hop,171
jump up,171
easycore,171
deep norteno,171
australian garage punk,171
turntablism,170
trap brasileiro,170
sleaze rock,170
pinoy rock,170
minneapolis indie,170
la indie,170
kurdish pop,170
jewish pop,170
gospel,170
detroit hip hop,170
african gospel,170
stride,169
melodipop,169
melodic hard rock,169
finnish melodeath,169
brazilian gospel,169
avant-garde metal,169
avant-garde jazz,169
atl hip hop,169
turkish hip hop,168
symphonic death metal,168
power blues-rock,168
polish alternative,168
nz indie,168
hollywood,168
hands up,168
classical cello,168
chill out,168
bebop,168
melodic death metal,167
k-pop boy group,167
hard alternative,167
fan chant,167
deep christian rock,167
birmingham indie,167
afro soul,167
velha guarda,166
taiwan indie,166
polish pop,166
pinoy hip hop,166
djent,166
dark clubbing,166
banjo,166
australian country,166
alt-idol,166
spanish punk,165
orgcore,165
merseybeat,165
k-pop girl group,165
hardcore,165
electra,165
trap soul,164
pet calming,164
german techno,164
english indie rock,164
ecm-style jazz,164
dutch indie,164
deep smooth jazz,164
corridos tumbados,164
christian relaxative,164
brutal death metal,164
big beat,164
bass music,164
modern ska punk,163
manchester indie,163
jazz trio,163
jazz boom bap,163
hardcore punk,163
gothic metal,163
finnish punk,163
dangdut,163
brazilian indie,163
volksmusik,162
ska punk,162
rock steady,162
progressive metal,162
polynesian pop,162
outsider house,162
nwothm,162
cumbia ranchera,162
classic house,162
australian metal,162
socal indie,161
portuguese metal,161
melbourne indie,161
japanese instrumental,161
hip hop quebecois,161
afro dancehall,161
visual kei,160
lullaby,160
kizomba,160
grime,160
gothic symphonic metal,160
free jazz,160
filter house,160
east coast hip hop,160
chill lounge,160
canadian singer-songwriter,160
axe,160
anime score,160
albanian pop,160
turkish metal,159
swiss metal,159
norwegian rock,159
melancholia,159
greek metal,159
german metal,159
drift,159
doom metal,159
britpop,159
beatlesque,159
straight edge,158
stomp pop,158
sound art,158
post-rock,158
neo-rockabilly,158
lithuanian pop,158
antiviral pop,158
uk post-punk,157
merengue,157
latin metal,157
hong kong indie,157
early music ensemble,157
christian metal,157
steampunk,156
popgaze,156
goregrind,156
diy emo,156
dark wave,156
contemporary vocal jazz,156
alternative pop,156
sinhala pop,155
romantico,155
reggae rock,155
rap chileno,155
perth indie,155
neo-progressive,155
instrumental surf,155
instrumental rock,155
indonesian hip hop,155
hyphy,155
doo-wop,155
classical tenor,155
christmas product,155
brazilian ccm,155
traditional blues,154
techno,154
skramz,154
new wave of thrash metal,154
irish country,154
garage pop,154
fourth world,154
folklore argentino,154
folk brasileiro,154
finnish metal,154
comedy,154
classic hardstyle,154
canadian metal,154
beats,154
toronto rap,153
taiwan pop,153
shoegaze,153
phonk,153
native american,153
modern southern rock,153
hawaiian,153
deep dubstep,153
british choir,153
workout product,152
pop romantico,152
neoclassical darkwave,152
indie shoegaze,152
future garage,152
finnish death metal,152
