,index,song,artist,id,MISSING,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
79,844,What's Going On,All Star Tribute,3QF1QMr3ws5C33iPJu0zsJ,MISSING,0.636,0.646,1,-8.53,0,0.0249,0.498,0.744,0.292,0.568,101.034,224173,4
80,855,"Hello Mudduh, Hello Fadduh! (A Letter From Camp)",Allan Sherman,1WvcgDbT79xeAa7Mv0klkK,MISSING,0.591,0.337,9,-13.186,1,0.194,0.875,0,0.64,0.729,120.195,162075,4
81,861,New Morning,Alpha Rev,7aOH8ShpP7P64x9fyTHxyc,MISSING,0.191,0.682,5,-7.188,1,0.0413,0.05,5.49e-06,0.156,0.407,178.071,224827,4
82,866,Bad Day,Alvin And The Chipmunks,2uXvmqJCWcstMyW33aJPks,MISSING,0.69,0.653,9,-3.904,1,0.0328,0.185,0.263,0.185,0.312,140.044,214667,4
83,867,Funkytown,Alvin And The Chipmunks,7AZWUtaMrz5MzfAW3Fy0aj,MISSING,0.808,0.745,0,-6.946,1,0.0619,0.000874,0.927,0.0817,0.276,123.03,214053,4
84,874,The Philly Freeze,Alvin Cash & The Registers,264kU95bSEp3GYcUUPUcpn,MISSING,0.807,0.716,7,-4.938,1,0.0395,0.0925,0.155,0.0803,0.913,113.566,152875,4
85,875,Something You Got,Alvin Robinson,1S293J9VJy8qDaZb6mpG5K,MISSING,0.497,0.127,5,-21.885,1,0.0393,0.887,3.92e-05,0.126,0.642,84.004,148255,4
86,882,Stars,Amanda Brown,6VtxTLIT8pG85PrDUv0M7e,MISSING,0.395,0.725,0,-2.452,1,0.0308,0.15,1.43e-06,0.143,0.203,140.027,206293,4
87,890,Colour Of Love,Amber,0p3U960rQCd4RR489pLlHY,MISSING,0.642,0.754,1,-7.646,1,0.0272,0.116,0.0384,0.0601,0.736,127.026,212693,4
88,891,One More Night,Amber,5kfcRzb9K6aGNINaQhT0kI,MISSING,0.758,0.923,2,-6.814,1,0.0456,0.249,0.0281,0.117,0.941,127.979,226773,4
89,893,This Is Your Night,Amber,6YX75Ps2XsWn9dOzwbqmNV,MISSING,0.674,0.908,9,-3.262,0,0.0325,0.0714,0.000104,0.121,0.861,127.985,238160,4
90,894,Sad,Amber Carrington,0CCznGZ23ARzsnbTu4QlzU,MISSING,0.498,0.47,10,-4.307,1,0.0301,0.768,0,0.162,0.377,114.015,189267,4
91,922,Let Me Down Easy,American Flyer,5KA5FInbzpqZ0foY5WmDTR,MISSING,0.597,0.579,9,-12.394,1,0.0361,0.45,0,0.114,0.751,109.789,157400,4
92,948,Got To Tell Me Something,Ana,5IhQG4L7NxTmX9Rl2mj1zJ,MISSING,0.795,0.618,11,-12.446,0,0.0626,0.094,0.00052,0.126,0.901,111.422,182485,4
93,949,Shy Boys,Ana,7ISolNQEUMLfb2yPGXV5PV,MISSING,0.801,0.867,6,-9.016,0,0.0443,0.649,1.23e-05,0.654,0.784,114.676,192309,4
94,953,Like Young,Andre Previn With David Rose,4dCrBXrbqmOkTR7ZWY2RIo,MISSING,0.417,0.223,5,-19.32,0,0.0276,0.318,3.49e-05,0.253,0.553,63.064,194258,4
95,954,Pearl Time,Andre Williams,6hriKayAKlu74iGgvtGXJe,MISSING,0.696,0.825,1,-3.356,1,0.0435,0.632,0.0038,0.0758,0.93,123.634,160400,4
96,956,It Hurts To Be Sixteen,Andrea Carroll,5rFLX9iZNPsghplNxms81T,MISSING,0.558,0.607,11,-8.566,0,0.056,0.573,0,0.102,0.871,132.28,126507,4
97,971,Mishale,Andru Donalds,3Iou4vWujsi1hOMIrLaPcm,MISSING,0.591,0.825,10,-4.413,0,0.0861,0.0249,6.15e-06,0.0758,0.771,176.016,241467,4
98,973,Spider Jiving,Andy Fairweather Low,54p5jF75hxlfYosMqWGmha,MISSING,0.444,0.73,2,-5.75,1,0.106,0.237,4.36e-05,0.632,0.86,173.607,170053,4
99,980,Me (Without You),Andy Gibb,5qAW3vvD08l29qcSV6lDIu,MISSING,0.352,0.424,2,-6.724,1,0.033,0.646,0.0294,0.151,0.08,129.16,224480,4
100,982,Time Is Time,Andy Gibb,1YnqUpgooPqfhJOcCxORtp,MISSING,0.358,0.629,2,-5.869,1,0.0306,0.0661,0,0.0812,0.652,206.916,220693,4
101,1004,Rainbow Ride,Andy Kim,0qglTmOtgHmBoej0iyyR5T,MISSING,0.539,0.558,1,-8.531,1,0.0335,0.0125,1.36e-05,0.117,0.3,100.703,167973,4
102,1005,Rock Me Gently,Andy Kim,5ge31VkFC1tpyehS4XQnNd,MISSING,0.593,0.869,0,-8.433,1,0.0365,0.0406,0.000934,0.874,0.645,124.611,238320,4
103,1008,Avenging Annie,Andy Pratt,2WPx4X6CtBRYW8PIUJRdMu,MISSING,0.435,0.802,10,-9.314,1,0.0792,0.0852,0.000877,0.26,0.842,165.821,307373,4
104,1010,A Scottish Soldier (Green Hills of Tyrol),Andy Stewart,4TnYIJn7a81Gwwg1sHhFrI,MISSING,0.387,0.461,3,-7.257,1,0.0547,0.891,0,0.151,0.551,76.575,209533,3
105,1044,Tell It Like It Is,Andy Williams,7MYHtpI1ebzt1lkAxgNDEZ,MISSING,0.522,0.44,6,-13.258,0,0.035,0.434,0,0.218,0.295,97.475,159760,3
106,1048,The Wonderful World Of The Young,Andy Williams,1wlPVZpAHotYmO7JRfVkGx,MISSING,0.177,0.162,5,-15.821,1,0.0335,0.828,0,0.12,0.179,174.572,149187,3
107,1056,Love Me Right (Oh Sheila),Angel City Featuring Lara McAllen,6UF11pNmBRt312LwkwDUR9,MISSING,0.559,0.806,5,-7.702,0,0.0293,0.00794,0.00442,0.188,0.851,132.029,192387,4
108,1074,Joey Baby,Anita & Th' So-And-So's,74eHuDMf4lrb55GuYaJVF2,MISSING,0.316,0.208,0,-13.847,1,0.0278,0.856,0,0.0785,0.328,180.652,151427,3
109,1082,Soul Inspiration,Anita Baker,69Qj76H9EwWDUcY3gnutLD,MISSING,0.653,0.662,6,-7.03,1,0.026,0.382,0,0.0859,0.51,104.026,319400,4
110,1084,Talk To Me,Anita Baker,1YjoOTolX1diB4V6dBCnpl,MISSING,0.462,0.596,7,-8.103,1,0.0435,0.351,0,0.1,0.388,188.181,234467,4
111,1086,A Texan And A Girl From Mexico,Anita Bryant,2vn7oFKcDb3MjNKgavRh8i,MISSING,0.378,0.184,7,-11.641,1,0.0328,0.848,0,0.129,0.249,132.448,160960,4
112,1087,Do-Re-Mi,Anita Bryant,5sYG6jLl5MotffCxTZSuAQ,MISSING,0.744,0.449,10,-10.444,1,0.0762,0.728,0,0.137,0.857,67.947,101800,4
113,1088,I Can't Do It By Myself,Anita Bryant,3FwRlfDWccU33k2osVGdUJ,MISSING,0.549,0.362,1,-8.498,1,0.0267,0.631,0,0.329,0.886,78.287,148387,4
114,1089,In My Little Corner Of The World,Anita Bryant,5RAnGYZkgGRexckUnHNQEJ,MISSING,0.487,0.373,11,-10.559,1,0.0271,0.821,4.77e-06,0.352,0.398,107.769,160157,4
115,1091,Paper Roses,Anita Bryant,5gJSdERLRTtlGbcSvzLijv,MISSING,0.357,0.336,7,-8.122,1,0.0295,0.848,0,0.171,0.317,115.112,172640,4
116,1092,Promise Me A Rose (A Slight Detail),Anita Bryant,0ktaoalKCfpHXlc77lCMms,MISSING,0.731,0.267,4,-12.367,1,0.0476,0.868,0,0.241,0.755,118.69,155951,4
